65,402,6,7,23,7,21,7,17,8,17,33
65,415,6,6,19,7,17,8,17,8,17,36
65,413,5,6,20,6,20,8,18,8,18,35
65,412,5,7,22,7,21,8,18,8,17,34
65,381,6,7,20,7,19,8,17,8,16,33
65,416,6,7,22,8,21,8,19,9,18,34
65,424,8,8,21,8,20,8,18,9,18,35
65,408,6,6,19,7,18,7,18,8,17,34
65,441,8,9,19,9,19,10,19,10,19,36
65,413,6,7,20,7,19,8,18,9,18,34
65,404,5,6,22,6,20,6,18,7,18,34
65,424,7,7,19,7,18,8,17,9,17,36
65,490,9,9,29,9,22,9,21,10,20,38
65,421,7,8,20,8,19,8,18,9,17,35
65,405,5,5,21,6,19,6,19,7,18,34
65,400,5,7,20,8,20,8,18,9,17,34
65,438,5,5,22,6,20,7,18,7,18,36
65,464,7,9,21,9,21,9,20,10,19,36
65,408,3,6,21,6,21,6,19,6,18,34
65,394,1,5,17,6,17,7,17,7,16,33
65,423,6,7,20,7,20,8,19,8,19,34
65,411,7,8,21,8,19,9,18,9,18,35
65,445,6,8,25,8,21,9,20,9,19,36
65,395,6,7,23,7,21,8,19,8,18,34
65,386,5,5,18,7,18,7,17,8,17,33
65,460,8,8,21,9,20,10,20,11,19,36
65,441,7,8,25,9,21,9,21,9,20,36
65,424,7,7,19,8,18,8,17,9,17,36
65,386,6,7,19,7,18,8,17,8,17,34
65,426,6,7,21,8,19,9,19,10,18,36
65,418,5,7,22,8,21,8,19,9,18,35
65,403,5,6,19,8,17,8,17,8,17,34
65,408,6,6,21,7,20,7,20,8,19,33
65,419,7,7,20,8,19,8,19,9,18,36
65,425,6,6,25,8,23,9,21,9,19,35
65,402,6,7,22,8,19,8,19,8,18,34
65,432,8,9,20,9,19,9,19,9,19,35
65,397,7,7,19,7,18,8,18,8,17,34
65,390,5,7,19,7,19,7,18,7,17,33
65,434,6,8,22,8,19,8,19,9,18,36
65,422,4,6,22,7,21,8,18,8,18,36
65,422,7,7,20,8,19,8,19,8,19,35
65,436,5,6,24,8,22,9,22,9,18,36
65,420,8,8,24,8,19,8,19,9,19,35
65,403,3,5,19,8,19,8,18,9,17,34
65,415,3,5,19,7,19,8,18,8,18,34
65,416,7,8,22,8,21,8,19,8,19,34
65,369,1,4,20,6,19,7,18,7,17,32
65,389,5,5,20,6,19,7,18,8,18,34
65,416,4,7,21,8,19,8,18,9,17,35
65,451,6,9,23,9,21,9,20,10,19,36
65,417,6,7,20,7,20,7,19,8,19,33
65,400,5,6,21,8,18,8,18,8,17,33
65,413,8,8,21,8,20,8,20,9,19,35
65,402,5,6,20,7,19,7,19,7,18,34
65,394,5,7,20,7,18,7,18,7,18,34
65,389,7,7,20,8,18,8,18,8,17,35
65,420,6,6,20,7,20,8,19,8,19,35
65,410,6,8,21,8,18,8,18,9,18,35
65,464,5,8,22,8,22,8,21,10,20,37
65,408,5,7,22,7,19,8,18,8,18,34
65,377,5,6,18,6,18,6,17,6,16,33
65,397,5,7,18,7,18,8,17,8,17,34
65,432,5,5,19,7,19,9,18,9,18,36
65,418,6,7,19,8,19,9,18,9,17,35
65,403,6,7,20,7,19,8,18,9,17,34
65,397,5,5,21,6,19,7,19,7,18,33
65,433,5,8,21,8,21,8,19,9,19,35
65,461,8,9,24,9,20,10,19,10,19,37
65,416,6,7,23,7,20,7,19,8,18,34
65,438,9,9,19,9,18,10,18,10,17,37
65,412,7,7,22,7,18,7,17,8,17,34
65,396,6,7,20,7,18,7,17,8,17,33
65,392,5,6,20,7,17,8,17,8,17,34
65,433,7,7,21,7,20,7,20,8,19,35
65,411,7,8,20,8,18,9,18,9,18,35
65,405,7,7,22,8,20,8,18,8,18,35
65,429,5,8,22,8,21,8,19,8,18,35
65,413,7,8,20,8,18,8,18,8,18,34
65,403,7,7,19,7,19,8,18,8,18,34
65,406,7,7,18,7,18,7,17,8,17,34
65,449,8,8,21,8,21,9,21,9,21,35
65,440,6,8,21,9,19,9,18,9,18,37
65,448,5,6,24,7,22,7,19,8,19,36
